OverallQual,GrLivArea,GarageCars,SaleCondition,SalePrice
7,2218,3,Partial,259899.5
5,2342,0,Abnorml,137950.0
8,2387,2,Normal,263500.0
4,2252,1,AdjLand,121250.0
7,3369,3,Normal,307500.0
6,1835,2,Normal,206250.0
9,3078,3,Partial,533966.5
5,1124,1,Abnorml,123900.0
7,2654,2,Normal,204750.0
6,1987,1,Normal,136950.0
8,2890,3,Normal,373000.0
5,1456,0,Family,163000.0
7,3123,2,Alloca,297050.0
6,1765,1,Normal,151500.0
9,3541,3,Partial,533966.5
4,1321,0,Abnorml,142500.0
7,2456,2,Normal,292500.0
6,2019,1,Normal,165250.0
8,2678,3,Partial,393394.5
5,1567,0,Normal,107500.0
